image,class
01_F01_01_frame001.jpg,01
01_F01_01_frame002.jpg,01
01_F01_01_frame003.jpg,01
01_F01_01_frame004.jpg,01
01_F01_01_frame005.jpg,01
01_F01_01_frame006.jpg,01
01_F01_01_frame007.jpg,01
01_F01_01_frame008.jpg,01
01_F01_01_frame009.jpg,01
01_F01_01_frame010.jpg,01
01_F01_02_frame001.jpg,01
01_F01_02_frame002.jpg,01
01_F01_02_frame003.jpg,01
01_F01_02_frame004.jpg,01
01_F01_02_frame005.jpg,01
01_F01_02_frame006.jpg,01
01_F01_02_frame007.jpg,01
01_F01_03_frame001.jpg,01
01_F01_03_frame002.jpg,01
01_F01_03_frame003.jpg,01
01_F01_03_frame004.jpg,01
01_F01_03_frame005.jpg,01
01_F01_03_frame006.jpg,01
01_F01_03_frame007.jpg,01
01_F01_03_frame008.jpg,01
01_F01_03_frame009.jpg,01
01_F01_03_frame010.jpg,01
01_F01_04_frame001.jpg,01
01_F01_04_frame002.jpg,01
01_F01_04_frame003.jpg,01
01_F01_04_frame004.jpg,01
01_F01_04_frame005.jpg,01
01_F01_04_frame006.jpg,01
01_F01_04_frame007.jpg,01
01_F01_04_frame008.jpg,01
01_F01_04_frame009.jpg,01
01_F01_05_frame001.jpg,01
01_F01_05_frame002.jpg,01
01_F01_05_frame003.jpg,01
01_F01_05_frame004.jpg,01
01_F01_05_frame005.jpg,01
01_F01_05_frame006.jpg,01
01_F01_05_frame007.jpg,01
01_F01_05_frame008.jpg,01
01_F01_05_frame009.jpg,01
01_F01_05_frame010.jpg,01
01_F01_05_frame011.jpg,01
01_F01_06_frame001.jpg,01
01_F01_06_frame002.jpg,01
01_F01_06_frame003.jpg,01
01_F01_06_frame004.jpg,01
01_F01_06_frame005.jpg,01
01_F01_06_frame006.jpg,01
01_F01_06_frame007.jpg,01
01_F01_06_frame008.jpg,01
01_F01_06_frame009.jpg,01
01_F01_07_frame001.jpg,01
01_F01_07_frame002.jpg,01
01_F01_07_frame003.jpg,01
01_F01_07_frame004.jpg,01
01_F01_07_frame005.jpg,01
01_F01_07_frame006.jpg,01
01_F01_07_frame007.jpg,01
01_F01_07_frame008.jpg,01
01_F01_08_frame001.jpg,01
01_F01_08_frame002.jpg,01
01_F01_08_frame003.jpg,01
01_F01_08_frame004.jpg,01
01_F01_08_frame005.jpg,01
01_F01_08_frame006.jpg,01
01_F01_08_frame007.jpg,01
01_F01_08_frame008.jpg,01
01_F01_09_frame001.jpg,01
01_F01_09_frame002.jpg,01
01_F01_09_frame003.jpg,01
01_F01_09_frame004.jpg,01
01_F01_09_frame005.jpg,01
01_F01_09_frame006.jpg,01
01_F01_09_frame007.jpg,01
01_F01_09_frame008.jpg,01
01_F01_09_frame009.jpg,01
01_F01_10_frame001.jpg,01
01_F01_10_frame002.jpg,01
01_F01_10_frame003.jpg,01
01_F01_10_frame004.jpg,01
01_F01_10_frame005.jpg,01
01_F01_10_frame006.jpg,01
01_F01_10_frame007.jpg,01
01_F01_10_frame008.jpg,01
01_F02_01_frame001.jpg,01
01_F02_01_frame002.jpg,01
01_F02_01_frame003.jpg,01
01_F02_01_frame004.jpg,01
01_F02_01_frame005.jpg,01
01_F02_01_frame006.jpg,01
01_F02_01_frame007.jpg,01
01_F02_02_frame001.jpg,01
01_F02_02_frame002.jpg,01
01_F02_02_frame003.jpg,01
01_F02_02_frame004.jpg,01
01_F02_02_frame005.jpg,01
01_F02_03_frame001.jpg,01
01_F02_03_frame002.jpg,01
01_F02_03_frame003.jpg,01
01_F02_03_frame004.jpg,01
01_F02_03_frame005.jpg,01
01_F02_03_frame006.jpg,01
01_F02_04_frame001.jpg,01
01_F02_04_frame002.jpg,01
01_F02_04_frame003.jpg,01
01_F02_04_frame004.jpg,01
01_F02_04_frame005.jpg,01
01_F02_04_frame006.jpg,01
01_F02_05_frame001.jpg,01
01_F02_05_frame002.jpg,01
01_F02_05_frame003.jpg,01
01_F02_05_frame004.jpg,01
01_F02_05_frame005.jpg,01
01_F02_05_frame006.jpg,01
01_F02_06_frame001.jpg,01
01_F02_06_frame002.jpg,01
01_F02_06_frame003.jpg,01
01_F02_06_frame004.jpg,01
01_F02_06_frame005.jpg,01
01_F02_06_frame006.jpg,01
01_F02_07_frame001.jpg,01
01_F02_07_frame002.jpg,01
01_F02_07_frame003.jpg,01
01_F02_07_frame004.jpg,01
01_F02_07_frame005.jpg,01
01_F02_07_frame006.jpg,01
01_F02_07_frame007.jpg,01
01_F02_08_frame001.jpg,01
01_F02_08_frame002.jpg,01
01_F02_08_frame003.jpg,01
01_F02_08_frame004.jpg,01
01_F02_08_frame005.jpg,01
01_F02_08_frame006.jpg,01
